bird_scientific,bird_english,bird_swedish,family_scientific,family_english,family_swedish,order_scientific,order_english,order_swedish,bird_details,bird_population
Calidris alpina,Dunlin,kärrsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 3,3
Calidris maritima,Purple Sandpiper,skärsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 4 / V,4
Calidris bairdii,Baird's Sandpiper,gulbröstad snäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Calidris minuta,Little Stint,småsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,F 4,4
Calidris fuscicollis,White-rumped Sandpiper,vitgumpsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T**,7
Calidris subruficollis,Buff-breasted Sandpiper,prärielöpare,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T**,7
Calidris melanotos,Pectoral Sandpiper,tuvsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T**,7
Calidris pusilla,Semipalmated Sandpiper,sandsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Calidris mauri,Western Sandpiper,tundrasnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Limnodromus scolopaceus,Long-billed Dowitcher,större beckasinsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,T***,8
Limnodromus griseus,Short-billed Dowitcher,mindre beckasinsnäppa,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,-,nil
Scolopax rusticola,Eurasian Woodcock,morkulla,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 3,3
Lymnocryptes minimus,Jack Snipe,dvärgbeckasin,Scolopacidae,Sandpipers and Snipes,Snäppor,CHARADRIIFORMES,Shorebirds,VADARFÅGLAR,Hf 4,4
